proper,x,y,z,dist,ra,dec
Sol,0.000005,0.000000,0.000000,0.0000,0.000000,0.000000
Alpheratz,25.974572,0.951042,14.461264,29.7442,0.139791,29.090432
Caph,8.600014,0.344589,14.409503,16.7842,0.152887,59.149780
Algenib,115.664183,6.687324,31.442127,120.0480,0.220598,15.183596
Ankaa,19.083654,2.198282,-17.483284,25.9740,0.438056,-42.305981
Shedir,37.984817,6.784483,58.379619,69.9790,0.675116,56.537331
Diphda,27.583638,5.310463,-9.119792,29.5334,0.726490,-17.986605
96 G. Psc,7.258368,1.555495,0.686093,7.4549,0.806382,5.280615
Van Maanen's Star,4.146957,0.903519,0.400348,4.2626,0.819416,5.388610
Cih,79.836717,20.168018,146.837047,168.3502,0.945143,60.716740
Mirach,46.946371,14.741814,35.255129,60.5327,1.162194,35.620558
Ruchbah,14.082378,5.534130,26.457567,30.4785,1.430216,60.235283
Achernar,21.065573,9.568417,-35.951967,42.7533,1.628556,-57.236757
Sheratan,14.752622,8.063457,6.389157,17.9856,1.910668,20.808035
Almaak,76.368059,45.840864,81.131974,120.4819,2.064984,42.329725
Hamal,15.731986,9.751722,8.033610,20.1776,2.119555,23.462423
Mira,75.131148,52.288786,-4.761374,91.6590,2.322442,-2.977643
Polaris,1.343100,1.047629,132.614909,132.6260,2.529750,89.264109
268 G. Cet,5.538462,4.488223,0.861013,7.1803,2.601357,6.886870
Acamar,26.857490,26.453029,-31.974932,49.4315,2.971023,-40.304672
Menkar,53.342561,54.414384,5.448321,76.3942,3.037992,4.089734
Algol,14.189428,15.238793,18.072114,27.5710,3.136148,40.955648
82 G. Eri,2.839238,3.381499,-4.127499,6.0434,3.331944,-43.069784
Mirphak,62.885098,77.880689,118.708804,155.2795,3.405378,49.861180
Alcyone,61.664507,94.489136,50.483636,123.6094,3.791410,24.105137
Zaurak,30.760217,52.235828,-14.563080,62.3441,3.967157,-13.508515
Aldebaran,7.027220,18.287604,5.806661,20.4332,4.598677,16.509301
Hassaleh,34.378539,121.884168,82.763748,151.2859,4.949894,33.166090
Cursa,6.156194,26.585876,-2.429001,27.3973,5.130829,-5.086446
Kapteyn's Star,0.578997,2.705174,-2.768220,3.9114,5.194169,-45.018417
Rigel,51.601106,256.709905,-37.740051,264.5503,5.242298,-8.201640
Capella,1.712633,8.954439,9.440007,13.1234,5.278150,45.997991
Bellatrix,11.658576,76.036136,8.560120,77.3994,5.418851,6.349702
